"recno","f2_row","f2_1","f2_2","f2_3","f2_4","f2_5","f2_6","f2_7","f2_8","f2_9","f2_10","f2_11","f2_12","f2_13","f2_14"
1700,7,,,,,,1,60,180000,10,30000,2,,,
1700,8,2,,,,,,,,,,,,,
1700,13,3,,,,,2,,,3,7500,,,,
1700,14,3,,,,,2,,,3,7500,,,,
1700,19,30,,,,,,,,,,,,,
1701,1,5,,,1,270000,1,60,102000,70,119000,2,,,
1701,2,2,,,1,270000,1,60,102000,70,119000,2,,,
1701,3,1,,,,,,,,,,,,,
1701,4,2,,,,,,,,,,,,,
1701,9,3,,,,,,,,,,,,,
1701,11,15,,,,,5,,,7,11900,,,,
1701,12,15,,,,,5,,,7,11900,,,,
1701,19,1,,,,,,,,,,,,,
1702,1,4,,,2,240000,,,,,,2,,,
1702,2,2,,,,,,,,,,,,,
1702,11,10,,,,,3,,,4,10000,,,,
1702,12,10,,,,,3,,,4,10000,,,,
1704,1,2,,,1,93000,,,,,,3,,,
1704,2,2,,,,,,,,,,,,,
1707,1,3,,,1,130000,,,,,,2,,,
1707,2,2,,,,,,,,,,,,,
1707,6,2,2,50000,,,,,,,,,,,
1707,8,,2,50000,,,,,,,,,,,
1707,11,10,,,,,4,,,5,12500,,,,
1707,12,10,,,,,4,,,5,12500,,,,
1708,11,5,,,,,2,,,3,7500,,,,
1708,12,5,,,,,2,,,3,7500,,,,
1710,6,1,,,,,,,,,,,,,
1710,11,8,,,,,4,,,5,12500,,,,
